iter	Passed	Remaining
1572	46932	42576
1573	46960	42544
1574	46989	42514
1575	47025	42489
1576	47054	42459
1577	47082	42427
1578	47109	42395
1579	47140	42367
1580	47170	42337
1581	47200	42307
1582	47230	42277
1583	47258	42246
1584	47287	42215
1585	47314	42183
1586	47341	42151
1587	47369	42119
1588	47399	42089
1589	47429	42059
1590	47464	42035
1591	47494	42005
1592	47523	41974
1593	47552	41944
1594	47581	41913
1595	47610	41882
1596	47638	41851
1597	47666	41820
1598	47694	41788
1599	47723	41757
1600	47752	41727
1601	47782	41697
1602	47810	41666
1603	47839	41636
1604	47868	41605
1605	47898	41575
1606	47925	41543
1607	47953	41512
1608	47983	41482
1609	48015	41454
1610	48045	41424
1611	48074	41394
1612	48103	41363
1613	48133	41334
1614	48164	41305
1615	48207	41286
1616	48234	41254
1617	48259	41220
1618	48286	41188
1619	48314	41156
1620	48341	41124
1621	48386	41107
1622	48414	41076
1623	48442	41044
1624	48484	41025
1625	48513	40994
1626	48541	40963
1627	48570	40933
1628	48599	40902
1629	48628	40871
1630	48656	40840
1631	48685	40809
1632	48713	40778
1633	48742	40748
1634	48772	40718
1635	48801	40687
1636	48829	40656
1637	48857	40624
1638	48887	40595
1639	48915	40564
1640	48943	40532
1641	48972	40502
1642	49003	40473
1643	49034	40444
1644	49063	40414
1645	49103	40392
1646	49132	40362
1647	49165	40334
1648	49195	40304
1649	49223	40274
1650	49252	40243
1651	49282	40213
1652	49312	40183
1653	49338	40151
1654	49365	40118
1655	49393	40087
1656	49422	40057
1657	49450	40025
1658	49479	39995
1659	49508	39964
1660	49537	39934
1661	49567	39904
1662	49596	39874
